Date,Open,High,Low,Close,Adj Close,Volume
2014-12-18,64.870583,68.102409,64.870583,68.102409,67.853844,947441
2014-12-19,71.474739,71.474739,71.474739,71.474739,71.213867,64601
2014-12-22,75.034424,75.034424,69.507545,70.819008,70.560524,8076062
2014-12-23,71.19371,74.331856,67.30616,68.008728,67.760506,18978143
2014-12-24,67.493515,71.381065,66.697266,71.381065,71.120529,905139
2014-12-26,74.94075,74.94075,73.535606,74.94075,74.667221,936481
2014-12-29,76.767433,78.172569,74.00399,75.081261,74.80722,868340
2014-12-30,75.502808,75.502808,71.708931,73.207748,72.940552,533873
2014-12-31,73.676125,76.861107,73.676125,76.861107,76.580574,868138
2015-01-01,78.68779,80.70182,78.31308,80.70182,80.407265,594580
2015-01-02,83.465263,88.945305,82.715851,83.324745,83.020622,3675757
2015-01-05,84.027313,87.540161,82.762688,85.853996,85.540642,2180050
2015-01-06,84.214668,84.823563,80.56131,80.842331,80.547264,1790570
2015-01-07,81.451225,84.917236,79.999252,83.793129,83.487289,1871377
2015-01-08,85.151428,94.144318,83.5121,90.77198,90.440674,6814236
2015-01-09,91.70874,108.898277,91.427711,108.383057,107.987473,13220339
2015-01-12,110.537605,125.900459,106.228516,121.73188,121.287575,18666447
2015-01-13,118.874763,122.902832,110.865471,113.254211,112.840843,8002882
2015-01-14,114.284645,116.860733,107.212112,110.20974,109.807487,3494112
2015-01-15,111.708557,116.579704,108.991951,112.364288,111.95417,2943212
2015-01-16,111.568039,120.560928,109.928711,118.9216,118.487549,4448936
2015-01-19,119.764687,122.621803,116.298676,117.04808,116.620865,1765311
2015-01-20,117.094917,117.750656,111.942741,113.535233,113.120842,1221107
2015-01-21,113.582077,115.830299,109.600845,110.443932,110.040825,1164618
2015-01-22,110.959145,114.237808,109.132469,109.694519,109.294144,1212154
2015-01-23,111.474365,112.036423,102.856178,104.214478,103.834106,1274985
2015-01-27,105.010727,114.612511,99.483849,114.612511,114.194191,2047207
2015-01-28,116.767059,118.968437,106.4627,107.680489,107.287468,2306477
2015-01-29,107.539978,112.598473,106.369026,107.727325,107.334129,1547884
2015-01-30,108.991951,110.256577,99.858551,101.732071,101.360764,1625324
2015-02-02,103.043533,111.895905,101.451042,111.1465,110.740829,2677607
2015-02-03,111.942741,113.02002,106.603218,109.27298,108.874146,1125077
2015-02-04,110.069229,112.270615,106.790565,107.91468,107.520805,1291338
2015-02-05,108.617249,113.347885,106.087997,107.493141,107.1008,1779407
2015-02-06,108.523575,109.835037,105.385429,106.041161,105.654121,1155357
2015-02-09,104.917046,107.118431,100.795311,101.263687,100.894089,728741
